schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/openai,OpenAI,32,2026-08-27T11:50:29.908814+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/anthropic,Anthropic,49,2026-08-27T11:50:29.908849+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/cohere,Cohere,66,2026-08-27T11:50:29.908858+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/mistral-ai,Mistral AI,83,2026-08-27T11:50:29.908864+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/hugging-face,Hugging Face,100,2026-08-27T11:50:29.908869+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/scale-ai,Scale AI,117,2026-08-27T11:50:29.908873+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/midjourney,Midjourney,134,2026-08-27T11:50:29.908879+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/perplexity-ai,Perplexity AI,151,2026-08-27T11:50:29.908883+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/jasper-ai,Jasper AI,168,2026-08-27T11:50:29.908887+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/runwayml,RunwayML,185,2026-08-27T11:50:29.908891+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/stability-ai,Stability AI,202,2026-08-27T11:50:29.908895+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/inflection-ai,Inflection AI,219,2026-08-27T11:50:29.908899+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/character.ai,Character.AI,236,2026-08-27T11:50:29.908902+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/eleutherai,EleutherAI,253,2026-08-27T11:50:29.908906+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/together-ai,Together AI,270,2026-08-27T11:50:29.908910+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/anyscale,Anyscale,287,2026-08-27T11:50:29.908915+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/pinecone,Pinecone,304,2026-08-27T11:50:29.908919+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/weaviate,Weaviate,321,2026-08-27T11:50:29.908923+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/qdrant,Qdrant,338,2026-08-27T11:50:29.908926+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/chroma,Chroma,355,2026-08-27T11:50:29.908930+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/langchain,LangChain,372,2026-08-27T11:50:29.908933+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/llamaindex,LlamaIndex,389,2026-08-27T11:50:29.908937+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/weights-&-biases,Weights & Biases,406,2026-08-27T11:50:29.908941+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/deepl,DeepL,423,2026-08-27T11:50:29.908945+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/synthesia,Synthesia,440,2026-08-27T11:50:29.908948+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/elevenlabs,ElevenLabs,457,2026-08-27T11:50:29.908952+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/harvey-ai,Harvey AI,474,2026-08-27T11:50:29.908956+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/abridge,Abridge,491,2026-08-27T11:50:29.908960+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/hippocratic-ai,Hippocratic AI,508,2026-08-27T11:50:29.908966+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/glean,Glean,525,2026-08-27T11:50:29.908970+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/codiumai,CodiumAI,542,2026-08-27T11:50:29.908974+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/cursor,Cursor,559,2026-08-27T11:50:29.908977+00:00
1.0,STARTUP,Y Combinator & AI Directory,https://www.ycombinator.com/companies/replit,Replit,576,2026-08-27T11:50:29.908981+00:00
